TITLE
DATA TYPE
ORIGIN	JASCO
OWNER
DATE	26/02/18
TIME	14:04:06
SPECTROMETER/DATA SYSTEM
LOCALE	1045
XUNITS	Temperature[C]
YUNITS	CD [mdeg]
Y2UNITS	HT [V]
FIRSTX	   20,0200
LASTX	   96,9600
NPOINTS	     155
XYDATA
63,9700	-12,3791	304,549
64,4600	-11,9876	304,631
65,0200	-11,4987	304,598
65,4700	-11,9706	304,633
65,9400	-12,4688	304,654
66,5100	-11,917	304,648
66,9400	-12,2097	304,648
67,4900	-12,0029	304,656
68,0000	-11,7594	304,649
68,4600	-11,657	304,626
68,9700	-11,721	304,726
69,5200	-11,6192	304,659
69,9600	-11,5232	304,666
70,4700	-12,1013	304,634
70,9500	-12,0475	304,717
71,4800	-11,25	304,684
71,9900	-11,3392	304,726
72,4900	-11,8042	304,757
73,0400	-11,7891	304,727
73,4800	-11,2793	304,749
74,0300	-11,6545	304,805
74,4800	-11,6049	304,782
74,9900	-11,1101	304,816
75,4600	-10,8518	304,707
75,9200	-10,865	304,832
76,4900	-10,9303	304,798
76,9600	-10,9008	304,791
77,4700	-10,928	304,78
77,9700	-10,8141	304,818
78,4700	-10,3857	304,763
79,0100	-10,1124	304,823
79,4800	-10,0681	304,831
79,9700	-9,51535	304,768
80,4500	-8,67377	304,804
80,9900	-9,11047	304,878
81,4400	-8,86415	304,835
81,9900	-8,65498	304,904
82,5200	-8,85651	304,926
82,9600	-8,35034	305,009
83,4700	-7,66664	304,92
83,9900	-7,86535	304,929
84,4500	-7,61835	305,026
84,9800	-6,97259	304,97
85,4800	-7,31697	304,972
85,9500	-7,1077	304,98
86,4900	-6,71849	304,976
86,9900	-6,55622	305,037
87,4500	-6,65126	305,034
87,9800	-6,44516	305,057
88,4400	-6,36253	304,969
88,9600	-5,97151	305,079
89,4500	-5,84808	305,1
89,9800	-5,98998	305,071
90,4500	-6,23029	305,128
90,9700	-5,92908	305,11
91,4500	-5,95445	305,17
91,9800	-5,47189	305,192
92,4300	-5,67051	305,179
92,9900	-5,75575	305,257
93,4700	-5,69092	305,269
93,9900	-6,06037	305,306
94,4900	-6,21916	305,28
94,9900	-5,74588	305,28
95,4700	-5,91889	305,31
95,9800	-5,57847	305,346
96,4900	-5,70066	305,37
96,9600	-5,55896	305,405

##### Extended Information
[Comments]
Sample name	AncCQ+3 SBD
Comment
User
Division
Company	Uniwersytet Gdanski

[Detailed Information]
Creation date	2026-02-18 14:04

Data array type	Non-linear data array * 2
Horizontal axis	Temperature [C]
Vertical axis(1)	CD [mdeg]
Vertical axis(2)	HT [V]
Start	20,02 C
End	96,96 C
Data points	155

[Measurement Information]
Instrument name	J-1500
Model name	J-1500
Serial No.	A026061638

Detector	PM-539
Detector S/N	A0260PM539
  Lock-in amp.	X mode
  HT volt	Auto

Accessory	PTC-517
Accessory S/N	A013061646
  Control sonsor	Holder
  Monitor sensor	Holder
  Start Mode	Keep target temperature +/-0.10 deg C while 5 seconds
  Cell length	1 mm

Measurement date	2026-02-18 14:04

Photometric mode	CD, HT
CD scale	200 mdeg/1.0 dOD
FL scale	200 mdeg/1.0 dOD
D.I.T.	1 sec
Bandwidth	1.00 nm
Monitor wavelength	222 nm
Baseline correction	None
Shutter control	Auto


