experiment_id,measurement_id,replicate,receptor_concentration_nM,measured_anisotropy_value,outlier
40,2619,1,800.0,115.0,False
40,2620,2,800.0,115.0,False
40,2621,3,800.0,111.0,False
40,2622,1,1600.0,119.0,False
40,2623,2,1600.0,120.0,False
40,2624,3,1600.0,120.0,False
40,2625,1,3200.0,124.0,False
40,2626,2,3200.0,125.0,False
40,2627,3,3200.0,123.0,False
40,2628,1,6400.0,121.0,False
40,2629,2,6400.0,122.0,False
40,2630,3,6400.0,124.0,False
40,2631,1,12800.0,126.0,False
40,2632,2,12800.0,125.0,False
40,2633,3,12800.0,126.0,False
40,2634,1,25600.0,126.0,False
40,2635,2,25600.0,129.0,False
40,2636,3,25600.0,126.0,False
41,2805,1,0.0,45.0,False
41,2806,2,0.0,40.0,False
41,2807,3,0.0,39.0,False
41,2808,1,0.1,43.0,False
41,2809,2,0.1,41.0,False
41,2810,3,0.1,39.0,False
41,2811,1,0.25,43.0,False
41,2812,2,0.25,42.0,False
41,2813,3,0.25,43.0,False
41,2814,1,0.5,40.0,False
41,2815,2,0.5,43.0,False
41,2816,3,0.5,41.0,False
41,2817,1,1.0,42.0,False
41,2818,2,1.0,43.0,False
41,2819,3,1.0,45.0,False
41,2820,1,3.0,48.0,False
41,2821,2,3.0,49.0,False
41,2822,3,3.0,46.0,False
41,2823,1,6.0,55.0,False
41,2824,2,6.0,51.0,False
41,2825,3,6.0,56.0,False
41,2826,1,12.0,60.0,False
41,2827,2,12.0,61.0,False
41,2828,3,12.0,64.0,False
41,2829,1,25.0,87.0,False
41,2830,2,25.0,87.0,False
41,2831,3,25.0,90.0,False
41,2832,1,50.0,103.0,False
41,2833,2,50.0,107.0,False
41,2834,3,50.0,104.0,False
41,2835,1,100.0,115.0,False
41,2836,2,100.0,116.0,False
41,2837,3,100.0,113.0,False
41,2838,1,200.0,123.0,False
41,2839,2,200.0,124.0,False
41,2840,3,200.0,123.0,False
41,2841,1,400.0,127.0,False
41,2842,2,400.0,126.0,False
41,2843,3,400.0,124.0,False
41,2844,1,800.0,127.0,False
41,2845,2,800.0,125.0,False
41,2846,3,800.0,127.0,False
